case,trials,avg_bw_mean,avg_bw_p50,avg_bw_p90,oneg_o_mean,oneg_o_p50,oneg_o_p90,oneg_i_mean,oneg_i_p50,oneg_i_p90,gdr_vals,coll_channels
bind_core_gdr,3,5.91830,5.90827,5.93361,15.777,15.780,15.828,15.800,15.810,15.818,"[1, 1, 1]","[2, 2, 2]"
bind_core_nogdr,3,5.88659,5.87717,5.92281,16.320,16.210,16.538,16.397,16.450,16.466,"[0, 0, 0]","[2, 2, 2]"
bind_none_gdr,3,6.03492,6.04597,6.05823,15.750,15.840,15.840,15.777,15.840,15.864,"[1, 1, 1]","[2, 2, 2]"
bind_none_nogdr,3,5.84532,5.85380,5.88409,16.083,16.190,16.254,16.127,16.220,16.340,"[0, 0, 0]","[2, 2, 2]"
bind_numa_gdr,3,6.04009,6.06081,6.06639,15.687,15.740,15.788,15.760,15.840,15.848,"[1, 1, 1]","[2, 2, 2]"
bind_numa_nogdr,3,5.92251,5.91358,5.94864,16.177,16.280,16.288,16.203,16.170,16.362,"[0, 0, 0]","[2, 2, 2]"
gdrread0_gdr,3,3.31500,3.29154,3.35425,9.333,9.330,9.346,9.343,9.350,9.366,"[0, 0, 0]","[2, 2, 2]"
gdrread1_gdr,3,5.99184,6.01613,6.03735,15.720,15.750,15.814,15.820,15.830,15.846,"[1, 1, 1]","[2, 2, 2]"
qps1_gdr,3,6.02596,6.02350,6.07438,15.770,15.830,15.838,15.807,15.820,15.828,"[1, 1, 1]","[2, 2, 2]"
qps2_gdr,3,5.30567,5.30447,5.31149,13.307,13.310,13.318,13.273,13.270,13.286,"[1, 1, 1]","[2, 2, 2]"
qps4_gdr,3,5.28848,5.27389,5.31305,13.097,13.130,13.130,13.087,13.080,13.152,"[1, 1, 1]","[2, 2, 2]"
