mode,trial,avg_bus_bw,one_gib_o_algbw,one_gib_o_busbw,one_gib_i_algbw,one_gib_i_busbw,gdr_seen
gdr,1,5.91927,15.780,15.780,15.850,15.850,1
gdr,2,5.95439,15.770,15.770,15.760,15.760,1
gdr,3,5.94739,15.700,15.700,15.740,15.740,1
gdr,4,5.93379,15.760,15.760,15.620,15.620,1
gdr,5,5.92167,15.840,15.840,15.630,15.630,1
nogdr,1,5.92959,16.400,16.400,16.390,16.390,0
nogdr,2,5.96725,16.810,16.810,16.770,16.770,0
nogdr,3,5.89401,16.470,16.470,16.320,16.320,0
nogdr,4,5.89517,16.320,16.320,16.370,16.370,0
nogdr,5,5.89246,16.420,16.420,16.300,16.300,0
